Parameter 'console.echo' set
Training...
Testing...
_schema_	_space_	_uid_               	_name_              	_values_                                                                                                                                                                                               
default 	TEST   	cf7d1e7ceba39cf933b4	DEM_LRN_SCORE:minPos	[0,0,0,0,0.01725029055940809,0.038640136732782895,0.045506063301375105,0.047087187804700815,0.04752660031876255,0.04827576829405737]                                                                   
default 	TEST   	786384964c7033ca6c95	DEM_LRN_SCORE:maxPos	[1,1,1,0.6392182957715019,0.07980672065253447,0.054949540572399834,0.05044318155219339,0.04935263835782724,0.04903463413455839,0.04827595388239836]                                                    
default 	TEST   	224aeb3ef35fb40b4548	DEM_LRN_SCORE:avgPos	[0.04827586206896552,0.0481945166586943,0.04811347529428789,0.04784472917565343,0.04769830773150234,0.04813824975559601,0.0482259860801781,0.04824129055033895,0.04824938002259982,0.04827585804078987]
default 	TEST   	68a79ad8bf0b9d133d6e	DEM_VLD_SCORE:F-0.5 	[0,0.000001994602337998821,0.00002576571407958858,0,0.21012200632625394,0.21069324875396464,0.21374396690415998,0.21370078909141516,0.2109452514144564,0.2116411434983855]                             
default 	TEST   	2427be94afc4f44d96f4	DEM_VLD_SCORE:F-1.0 	[0,0.000000973835259140601,0.000012625199898998403,0,0.09617373319544983,0.09647302904564316,0.09807540205641972,0.09836890734139657,0.09675712404291954,0.09727946239245078]                          
default 	TEST   	497aee5d4f419b4035bc	DEM_VLD_SCORE:F-2.0 	[0,0.0000006441711830891135,0.000008361059535760533,0,0.062357516427517766,0.06255885914166553,0.06363760777336801,0.0638888322766202,0.06277563975001109,0.0631538597392068]                          
default 	TEST   	14e9c4e2bc71e3aed570	T-0.5               	[0.4924137931034482,0.597612006567809,0.5677390084725977,0.31577521255931257,0.02333989399382694,0.044089169386225965,0.04727981967898734,0.04775399648919379,0.04781571220029746,0.04827580419275038] 
default 	TEST   	d0cb40b2f6178887236d	T-1.0               	[0.4924137931034482,0.597612006567809,0.5677390084725977,0.31577521255931257,0.02333989399382694,0.044089169386225965,0.04727981967898734,0.04775399648919379,0.04781571220029746,0.04827580419275038] 
default 	TEST   	eeca963dd57fa66efe2b	T-2.0               	[0.4924137931034482,0.597612006567809,0.5677390084725977,0.31577521255931257,0.02333989399382694,0.044089169386225965,0.04727981967898734,0.04775399648919379,0.04781571220029746,0.04827580419275038] 
default 	TEST   	1dc8d5615d7d9c92285e	DEM_VLD_SCORE:AUPRC 	[0,0.11741809465967304,0.1491063938404567,0.3555704448986624,0.2251421485744798,0.3764833089249734,0.1450764317361104,0.2498111176278587,0.3777056201289591,0.6863613867748757]                        
default 	TEST   	cfe5253626cb4968c646	DEM_TST_SCORE:F-0.5 	[0,0.0010494555949101404,0.00001736111111111111,0,0.24406584992343036,0.23437476007834002,0.22569176863545565,0.21912019869581606,0.22569176863545565,0.22940053116613848]                             
default 	TEST   	b25b9aa6414492b4f821	DEM_TST_SCORE:F-1.0 	[0,0.0005066337354738609,0.000008169934640522875,0,0.11437542049786949,0.10966730600103074,0.10564916017711408,0.10277569023574586,0.10564916017711408,0.10768660870357771]                            
default 	TEST   	f881bc5151c1f691375e	DEM_TST_SCORE:F-2.0 	[0,0.00033391768928959007,0.000005341880341880342,0,0.07468806748286569,0.07158040002863533,0.06896666167725214,0.06713144239966622,0.06896666167725214,0.07035701601223301]                           
default 	TEST   	56e20004024d2ff7cbe8	DEM_TST_SCORE:AUPRC 	[0,0.2230572345326454,0.16548036433753285,0.10644090111216903,0.44058948749382254,0.49204521515538274,0.6478385756608085,0.7234300616912205,0.5781096411165585,0.5884631863797251]                     
